drug,smile
15,CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C
241,C1=CC=CC=C1
544,[O-][As]([O-])[O-]
702,CCO
712,C=O
784,OO
790,C1=NC2=C(N1)C(=O)N=CN2
896,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC
985,CCCCCCCCCCCCCCCC(=O)O
1110,C(CC(=O)O)C(=O)O
1130,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO
1175,C12=C(NC(=O)N1)NC(=O)NC2=O
1176,C(=O)(N)N
1832,CN(C)CCC1=CNC2=C1C=C(C=C2)OC
1983,CC(=O)NC1=CC=C(C=C1)O
2051,COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=CC=C3)Cl)OC
2187,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N
2244,CC(=O)OC1=CC=CC=C1C(=O)O
2336,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3
2353,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC
2375,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O
2520,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC
2578,C(CCl)NC(=O)N(CCCl)N=O
2662,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
2733,C1=CC2=C(C=C1Cl)NC(=O)O2
2767,[NH2-].[NH2-].Cl[Pt+2]Cl
2907,C1CNP(=O)(OC1)N(CCCl)CCCl
2995,CNCCCN1C2=CC=CC=C2CCC3=CC=CC=C31
3071,C1=CC=C2C(=C1)C(=CN2)CC3=CNC4=CC=CC=C43
3101,C1=CC=C2C(=C1)C3=CC=CC=C3[I+]2
3103,CN1CCC(CC1)OC(C2=CC=CC=C2)C3=CC=CC=C3
3117,CCN(CC)C(=S)SSC(=S)N(CC)CC
3121,CCCC(CCC)C(=O)O
3220,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O
3229,CCN1C=C(C(=O)C2=CC(=C(N=C21)N3CCNCC3)F)C(=O)O
3345,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3
3385,C1=C(C(=O)NC(=O)N1)F
3386,CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F
3397,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F
3488,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
3564,CC1=NCCC2=C1NC3=C2C=CC(=C3)OC
3652,CCN(CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO
3657,C(=O)(N)NO
3690,C1CN(P(=O)(OC1)NCCCl)CCCl
3763,C(C(F)(F)F)(OC(F)F)Cl
